"","SampleID","D_mean","D_meanNorm","State","Pseudotime"
"1","1046_TCX",17.8552202894785,0.584187806343289,"3",33.293595656929
"2","1924_TCX",10.0647671774156,0.840485022462577,"1",0
"3","1926_TCX",0.791140580302799,0,"8",102.670785215373
"4","6913_TCX",4.69768366630068,0.106895665251845,"3",54.8435580525122
"5","11255_TCX",4.02711892820447,0.276784415372541,"9",99.3196822551953
"6","11267_TCX",3.38319599034462,0.952499307310915,"5",84.4864482441427
"7","11306_TCX",1.27645911038679,0.0459873895247977,"8",103.87966953322
"8","142_TCX",16.0280776676021,0.517907860556279,"3",34.6612520457859
"9","1935_TCX",2.32921926670747,0.14574391721503,"8",101.238332514112
"10","6863_TCX",0.984508829323978,0.162043778314584,"7",84.5231160933211
"11","812_TCX",22.59060243601,0.755964693486651,"3",27.7802525294277
"12","859_TCX",3.63670869999778,0.0684085967515687,"3",47.5482556991859
"13","896_TCX",16.003844103659,0.517028783419585,"3",34.6575477564585
"14","952_TCX",0.387065277138203,0,"2",22.7005387439485
"15","981_TCX",21.5697838051937,0.718934303686323,"3",71.7756758745606
"16","1019_TCX",24.7179607454904,0.833135020385983,"3",25.7002129277535
"17","1029_TCX",12.6962215605131,0.397044147180042,"3",37.4928686812442
"18","1104_TCX",10.7514604251932,0.326497567468977,"3",60.4922709294195
"19","1123_TCX",15.0990802161608,0.484208301484878,"3",34.9428388224989
"20","149_TCX",16.7675232435283,0.544731389326302,"3",33.7586478101328
"21","7098_TCX",7.20372656639071,0.607638223812408,"8",109.36487142401
"22","787_TCX",2.3524764219568,0.0218228268464965,"3",51.970166309522
"23","886_TCX",3.23624966631703,0.162027449552085,"1",12.1128224758777
"24","933_TCX",0.79075282839186,0.186228843125159,"5",87.8447712037663
"25","946_TCX",19.8142040336197,0.65525031389181,"3",30.8135505458082
"26","948_TCX",17.8901653836024,0.585455446272611,"3",32.2255537614789
"27","1034_TCX",5.58088567982467,0.138933986111128,"3",45.7666336955416
"28","11285_TCX",3.62513860409612,0.0679888893242826,"3",47.2364378788921
"29","1129_TCX",17.7671559315895,0.580993255027611,"3",32.9095425000415
"30","141_TCX",1.76508489760509,0.608360568797573,"2",20.9884616047082
"31","1919_TCX",3.0270129419415,0.167130355746385,"9",106.259383727332
"32","1952_TCX",3.32721685422783,0.200045444896941,"9",99.8553456152763
"33","1955_TCX",4.79946563909763,0.361466392534586,"9",107.18803608681
"34","732_TCX",0.845662441969,0.202458944406269,"5",87.0273064416545
"35","766_TCX",20.9394011983709,0.696067054843766,"3",71.1305090733312
"36","791_TCX",3.82831401398973,0.0753591159238747,"3",47.0787830036401
"37","1105_TCX",1.33135618284944,0.346019572364734,"5",87.4172603667809
"38","1275_TCX",2.50070412519983,0.109424573393846,"9",105.49113559339
"39","1942_TCX",7.78910041038716,0.219037395048879,"3",42.4673768970908
"40","850_TCX",14.735183430041,0.471007876423743,"3",35.2819486125715
"41","1951_TCX",13.0661864752064,0.410464694758197,"3",62.8932102913754
"42","976_TCX",2.26513632070295,0.829120537426161,"2",24.5777972909874
"43","1005_TCX",0.30151023910889,0.0416192518749828,"5",87.7575733351685
"44","11295_TCX",1.48509072119396,0.0657567215379707,"8",102.616767599886
"45","1931_TCX",4.43144492094751,0.344944780231385,"8",107.087786440968
"46","6925_TCX",17.7768490050674,0.581344873109819,"3",67.9605812274764
"47","11258_TCX",1.63898245433858,0.0149433076323532,"9",103.310464731782
"48","11298_TCX",3.27249102602879,0.194045171615055,"9",105.817016922667
"49","11309_TCX",11.3097762768522,0.346750581074442,"3",61.440753869336
"50","11275_TCX",4.42020547987471,0.0968300913151458,"3",54.5043684520042
"51","11305_TCX",1.22193206261303,0.313676154913103,"5",86.6547137948699
"52","1936_TCX",3.75769264373621,0.247243860403633,"9",106.078447727309
"53","11249_TCX",12.8058822624605,0.401022109979997,"3",62.8297023890753
"54","1944_TCX",1.60548111022484,0,"1",9.41766358296289
"55","1085_TCX",21.238161578168,0.706904644388869,"3",71.4220855634219
"56","1959_TCX",5.68160338528636,0.40498922659711,"1",3.87540186580624
"57","966_TCX",13.0494594900515,0.40985792019338,"3",63.0742932329576
"58","11349_TCX",0.271248518576156,0.00627644280796001,"7",85.6812158076157
"59","11303_TCX",4.56847457825548,0.336139969228852,"9",107.130903434315
"60","1960_TCX",9.12055595271739,0.8352412738051,"9",94.1132476210347
"61","129_TCX",15.1950221541811,0.487688613516652,"3",34.8512343747297
"62","1172_TCX",16.3326440708966,0.528956064706964,"3",66.4879949864389
"63","1933_TCX",2.67702859853914,0.106465203757396,"1",11.7820811540968
"64","11291_TCX",2.83015682588829,0.789032819991036,"5",89.7663749149428
"65","11312_TCX",17.715623999169,0.579123924387389,"3",32.4382286765488
"66","11311_TCX",1.82826448923412,0.49289498478625,"5",87.225466404763
"67","11328_TCX",3.68658289223719,0.0702177925517325,"3",47.2734468029798
"68","11334_TCX",6.29632290332404,0.525585473869802,"9",97.0378725215212
"69","11317_TCX",25.9902950777863,0.879289190048403,"3",76.1056061073242
"70","11288_TCX",0.51772857822688,0.105528744477557,"5",88.3493566465607
"71","11333_TCX",2.63568099534549,0.731549945484856,"5",89.5369236064418
"72","11331_TCX",1.35398973103906,0.0533339683818187,"8",103.748934216231
"73","11341_TCX",1.89204465924307,0.511747031842044,"5",87.1335564331656
"74","11320_TCX",10.3845059537117,0.909039739744353,"8",92.5238784603697
"75","11264_TCX",27.5670506392372,0.936486297642011,"3",77.6342578764863
"76","11313_TCX",0.777773645335862,0.172487794499012,"2",21.5478305572091
"77","11330_TCX",22.103354005387,0.738289664082905,"3",72.3131686286102
"78","11289_TCX",3.02973927275452,0.212123180299059,"8",105.808146856188
"79","11319_TCX",3.88312511190629,0.795066152040349,"7",81.6635204323045
