"","SampleID","State","Pseudotime"
"1","11492_TCX","1",8.83728866867654
"2","6810_TCX","5",26.5630071475613
"3","892_TCX","5",31.0819432130113
"4","11445_TCX","4",50.5466385818166
"5","6894_TCX","3",27.5112836357936
"6","6952_TCX","4",62.399518626653
"7","1103_TCX","4",45.60690825908
"8","1183_TCX","4",87.3597663636243
"9","1963_TCX","1",20.4239660191733
"10","7000_TCX","2",22.5774921112737
"11","7099_TCX","3",28.2613323233292
"12","746_TCX","4",65.486610698909
"13","1058_TCX","4",79.9075973104308
"14","11507_TCX","4",88.6888838543834
"15","1239_TCX","4",86.9938651107819
"16","1943_TCX","4",62.5803680391269
"17","777_TCX","4",90.3052951541145
"18","786_TCX","4",47.362641086454
"19","813_TCX","4",86.6915224863062
"20","1015_TCX","4",79.0086209995909
"21","11366_TCX","1",3.20424500308793
"22","11383_TCX","4",56.9929103536329
"23","11493_TCX","4",34.6566252761621
"24","1166_TCX","4",87.8513671686592
"25","6880_TCX","3",27.942323724918
"26","7095_TCX","5",63.113562241769
"27","1047_TCX","1",4.28451690941334
"28","11452_TCX","4",50.3120875156601
"29","1302_TCX","1",3.69865342454759
"30","828_TCX","4",51.4816082175891
"31","11374_TCX","1",0.75721137598711
"32","1956_TCX","5",35.7867849699709
"33","1929_TCX","1",4.09659443252054
"34","894_TCX","2",22.5138175743937
"35","1195_TCX","4",47.9315558954814
"36","1940_TCX","5",52.5080746060136
"37","11498_TCX","1",1.58793991846651
"38","7016_TCX","1",4.34172259741502
"39","7015_TCX","1",11.0782502877735
"40","736_TCX","4",54.8535103881455
"41","816_TCX","3",27.7899201189201
"42","11371_TCX","4",39.1751007812416
"43","11377_TCX","4",31.6506503058821
"44","1941_TCX","5",32.3641240073411
"45","11410_TCX","4",31.3679752576341
"46","1964_TCX","1",8.79291520396083
"47","11422_TCX","1",2.95157649983409
"48","11395_TCX","4",45.1674345250271
"49","11472_TCX","4",86.4625104623577
"50","11476_TCX","1",9.38937773317643
"51","11469_TCX","4",37.9999683498291
"52","11470_TCX","4",37.6828087841214
"53","11483_TCX","1",9.21232546993627
"54","11394_TCX","1",10.2416046289705
"55","11464_TCX","1",14.6656646337289
"56","11389_TCX","4",87.9792779570042
"57","11424_TCX","4",85.3822997426642
"58","11427_TCX","1",10.771297019194
"59","11463_TCX","1",8.13661089486268
"60","11481_TCX","3",28.7380713340347
"61","11426_TCX","4",62.2871101838557
"62","11471_TCX","5",43.3081153372022
"63","11393_TCX","4",43.6611401771774
"64","11399_TCX","4",59.9725860049548
"65","11429_TCX","4",86.2144478942289
"66","11474_TCX","1",2.14463339098937
"67","11482_TCX","1",1.75108669160775
"68","11400_TCX","1",1.86833889510204
"69","11431_TCX","4",46.2560556583484
"70","11417_TCX","4",53.5205414451113
"71","11397_TCX","4",85.0032111252126
"72","11386_TCX","4",58.1550525769982
"73","11480_TCX","1",2.90645952218468
"74","11423_TCX","5",48.5897761100865
"75","11468_TCX","4",87.2114566564692
"76","11391_TCX","1",2.01275148481003
"77","11430_TCX","1",8.17837966513398
"78","11485_TCX","4",87.7900445311253
"79","1010_TCX","4",78.9607544693925
"80","1036_TCX","4",50.5967130198457
"81","1052_TCX","1",2.06353244482162
"82","1114_TCX","4",86.3303374459327
"83","11370_TCX","4",75.1485669787415
"84","11372_TCX","1",16.2771580878776
"85","11381_TCX","1",0.176631219910873
"86","11385_TCX","3",27.6966697690624
"87","11398_TCX","4",87.9174533049832
"88","11402_TCX","5",26.3434287923686
"89","11403_TCX","4",30.4980849061311
"90","11404_TCX","4",37.7553053398356
"91","11412_TCX","1",9.52770046979953
"92","11425_TCX","3",28.1038525573791
"93","11428_TCX","1",9.34796893471611
"94","11433_TCX","4",76.1779639610251
"95","11440_TCX","4",35.1281723219203
"96","11443_TCX","4",84.9554925631426
"97","11447_TCX","4",46.6198750982626
"98","11448_TCX","1",11.1791050999695
"99","11449_TCX","4",49.596679474507
"100","11456_TCX","4",30.2124808571695
"101","11457_TCX","5",36.5638194938076
"102","11460_TCX","4",58.3764541177906
"103","11465_TCX","4",84.8822270571066
"104","11486_TCX","4",43.5930576633432
"105","11489_TCX","4",68.4299260784182
"106","11491_TCX","5",22.2618524242225
"107","11494_TCX","4",37.8673753777294
"108","11495_TCX","1",14.0765715785176
"109","11497_TCX","4",82.7300874293084
"110","11499_TCX","5",31.4764520424109
"111","11500_TCX","5",27.3302752518085
"112","11502_TCX","4",85.1941789479719
"113","11505_TCX","4",59.6051782284044
"114","11506_TCX","4",52.1272323478021
"115","1214_TCX","4",46.5768550629194
"116","1945_TCX","1",1.96906658148922
"117","6821_TCX","1",20.7219560756457
"118","6870_TCX","3",27.3077025820256
"119","6872_TCX","3",27.0703477182111
"120","6976_TCX","5",23.0105797192445
"121","731_TCX","4",39.9412881685383
"122","744_TCX","4",52.7643226299178
"123","751_TCX","4",56.5137535354681
"124","775_TCX","1",0
"125","797_TCX","4",85.332840746071
"126","834_TCX","4",90.3294534704944
"127","962_TCX","4",88.5706743363629
"128","991_TCX","4",79.9220235174722
