"","SampleID","State","Pseudotime"
"1","07_120410","8",43.8119371038742
"2","08_120410","8",47.814101647642
"3","100_120417","7",37.6837517009902
"4","102_120418","2",7.12147839646517
"5","104_120418","4",38.2187058160166
"6","108_120418","9",8.95776698147842
"7","111_120418","7",36.391867325975
"8","112_120418","4",29.6357325141759
"9","116_120418","7",33.3291112921701
"10","118_120418","8",45.938887859367
"11","120_120418","8",43.3946855550957
"12","121_120418","7",36.6065200456002
"13","12_120410","7",36.7232094265627
"14","124_120419","7",36.8213851571852
"15","128_120419","9",11.4670332643586
"16","130_120419","7",38.6160205939892
"17","133_120419","7",39.4611045725455
"18","140_120419","7",38.8807460156638
"19","141_120419","9",9.56605155452078
